trip_id,route_id,service_id,trip_headsign,direction_id,shape_id
T101A_WD,R101,weekday,Alajuela,0,SH101A
T101B_WD,R101,weekday,San José,1,SH101B
T101A_SA,R101,saturday,Alajuela,0,SH101A
T101B_SA,R101,saturday,San José,1,SH101B
T101A_SU,R101,sunday,Alajuela,0,SH101A
T101B_SU,R101,sunday,San José,1,SH101B
T201A_WD,R201,weekday,Heredia,0,SH201A
T201B_WD,R201,weekday,San José,1,SH201B
T201A_SA,R201,saturday,Heredia,0,SH201A
T201B_SA,R201,saturday,San José,1,SH201B
T301A_WD,R301,weekday,Cartago,0,SH301A
T301B_WD,R301,weekday,San José,1,SH301B
T301A_SA,R301,saturday,Cartago,0,SH301A
T301B_SA,R301,saturday,San José,1,SH301B
T102A_WD,R102,weekday,Desamparados,0,SH102A
T102B_WD,R102,weekday,San José,1,SH102B
T102A_SA,R102,saturday,Desamparados,0,SH102A
T102B_SA,R102,saturday,San José,1,SH102B
T103A_WD,R103,weekday,Escazú,0,SH103A
T103B_WD,R103,weekday,San José,1,SH103B
T103A_SA,R103,saturday,Escazú,0,SH103A
T103B_SA,R103,saturday,San José,1,SH103B
T104A_WD,R104,weekday,Santa Ana,0,
T104B_WD,R104,weekday,San José,1,
T104A_SA,R104,saturday,Santa Ana,0,
T104B_SA,R104,saturday,San José,1,
T305A_WD,R305,weekday,Puriscal,0,
T305B_WD,R305,weekday,San José,1,
T305A_SA,R305,saturday,Puriscal,0,
T305B_SA,R305,saturday,San José,1,
T106A_WD,R106,weekday,San Pedro,0,
T106B_WD,R106,weekday,San José,1,
T106A_SA,R106,saturday,San Pedro,0,
T106B_SA,R106,saturday,San José,1,
T401A_WD,R401,weekday,Heredia,0,
T401B_WD,R401,weekday,Alajuela,1,
T401A_SA,R401,saturday,Heredia,0,
T401B_SA,R401,saturday,Alajuela,1,
T302A_WD,R302,weekday,Turrialba,0,
T302B_WD,R302,weekday,Cartago,1,
T302A_SA,R302,saturday,Turrialba,0,
T302B_SA,R302,saturday,Cartago,1,
T202A_WD,R202,weekday,Barva,0,
T202B_WD,R202,weekday,Heredia,1,
T202A_SA,R202,saturday,Barva,0,
T202B_SA,R202,saturday,Heredia,1,
T107A_WD,R107,weekday,Guadalupe,0,
T107B_WD,R107,weekday,San José,1,
T107A_SA,R107,saturday,Guadalupe,0,
T107B_SA,R107,saturday,San José,1,
T108A_WD,R108,weekday,Tibás,0,
T108B_WD,R108,weekday,San José,1,
T108A_SA,R108,saturday,Tibás,0,
T108B_SA,R108,saturday,San José,1,
T109A_WD,R109,weekday,Goicoechea,0,
T109B_WD,R109,weekday,San José,1,
T109A_SA,R109,saturday,Goicoechea,0,
T109B_SA,R109,saturday,San José,1,
T501A_WD,R501,weekday,Limón,0,
T501B_WD,R501,weekday,San José,1,
T110A_WD,R110,weekday,Moravia,0,
T110B_WD,R110,weekday,San José,1,
T110A_SA,R110,saturday,Moravia,0,
T110B_SA,R110,saturday,San José,1,
T111A_WD,R111,weekday,Montes de Oca,0,
T111B_WD,R111,weekday,San José,1,
T111A_SA,R111,saturday,Montes de Oca,0,
T111B_SA,R111,saturday,San José,1,
T112A_WD,R112,weekday,San José por autopista,0,
T112B_WD,R112,weekday,Heredia,1,
T112A_SA,R112,saturday,San José por autopista,0,
T112B_SA,R112,saturday,Heredia,1,
